a	197.3066736611878	total = 13296	deleted = 13215	frequency deleted = 99.39079422382672
the	196.9273792135257	total = 25732	deleted = 25434	frequency deleted = 98.84190890719726
of	196.127607746839	total = 17545	deleted = 17302	frequency deleted = 98.61499002564832
to	195.07668609927242	total = 10482	deleted = 10320	frequency deleted = 98.45449341728678
that	194.90283863742476	total = 3862	deleted = 3861	frequency deleted = 99.97410668047644
in	193.43266471651856	total = 8303	deleted = 8125	frequency deleted = 97.85619655546188
are	192.99933130645735	total = 3507	deleted = 3480	frequency deleted = 99.23011120615911
<number>	192.76365027054425	total = 3173	deleted = 3154	frequency deleted = 99.40119760479041
by	192.48197091051316	total = 2998	deleted = 2981	frequency deleted = 99.43295530353569
most	191.747441788954	total = 2370	deleted = 2368	frequency deleted = 99.915611814346
for	191.57501608324458	total = 2571	deleted = 2558	frequency deleted = 99.49436017113965
is	190.94016952446364	total = 11345	deleted = 10923	frequency deleted = 96.28029969149405
an	190.831670988577	total = 2628	deleted = 2602	frequency deleted = 99.01065449010655
can	190.532707535351	total = 2073	deleted = 2070	frequency deleted = 99.85528219971056
on	190.42931065517078	total = 2736	deleted = 2699	frequency deleted = 98.64766081871345
water	189.17034266547103	total = 2493	deleted = 2451	frequency deleted = 98.31528279181708
as	188.9596818469119	total = 2232	deleted = 2202	frequency deleted = 98.65591397849462
be	188.66601262946332	total = 1967	deleted = 1949	frequency deleted = 99.08490086426029
it	187.7665849690727	total = 1581	deleted = 1578	frequency deleted = 99.81024667931689
with	187.6088736693218	total = 1590	deleted = 1585	frequency deleted = 99.68553459119497
Earth	186.39455782312925	total = 1370	deleted = 1370	frequency deleted = 100.0
The	186.03351955307264	total = 1332	deleted = 1332	frequency deleted = 100.0
have	185.781138943523	total = 1359	deleted = 1355	frequency deleted = 99.70566593083149
one	184.53933164565535	total = 1326	deleted = 1315	frequency deleted = 99.17043740573152
force	184.49719599413126	total = 1202	deleted = 1201	frequency deleted = 99.91680532445923
this	184.35430538593698	total = 1321	deleted = 1309	frequency deleted = 99.09159727479182
two	184.23391889031797	total = 1239	deleted = 1233	frequency deleted = 99.51573849878935
likely	183.03648396557307	total = 1276	deleted = 1258	frequency deleted = 98.58934169278997
used	182.64590035828434	total = 1063	deleted = 1062	frequency deleted = 99.90592662276576
cells	182.6309783912398	total = 1062	deleted = 1061	frequency deleted = 99.90583804143127
energy	182.58193599101992	total = 3885	deleted = 3632	frequency deleted = 93.48777348777348
will	182.4434683585489	total = 1060	deleted = 1058	frequency deleted = 99.81132075471699
example	181.8346957311535	total = 1001	deleted = 1001	frequency deleted = 100.0
best	181.80163785259327	total = 999	deleted = 999	frequency deleted = 100.0
and	181.35213626638358	total = 8549	deleted = 7835	frequency deleted = 91.64814598198619
different	180.9360758801083	total = 1016	deleted = 1009	frequency deleted = 99.31102362204724
than	180.91222379890533	total = 1005	deleted = 999	frequency deleted = 99.40298507462687
they	180.88913016773722	total = 956	deleted = 955	frequency deleted = 99.89539748953975
other	180.8701611806389	total = 1099	deleted = 1083	frequency deleted = 98.54413102820746
has	180.34062142125248	total = 982	deleted = 975	frequency deleted = 99.28716904276986
cell	180.20966893513494	total = 938	deleted = 935	frequency deleted = 99.68017057569296
student	179.93970474336933	total = 1117	deleted = 1093	frequency deleted = 97.85138764547897
not	179.4968334782069	total = 955	deleted = 946	frequency deleted = 99.05759162303664
organisms	178.80355707246824	total = 852	deleted = 851	frequency deleted = 99.88262910798123
do	178.69533586613855	total = 915	deleted = 906	frequency deleted = 99.01639344262296
sound	177.27277878584496	total = 843	deleted = 835	frequency deleted = 99.05100830367735
This	177.09049255441008	total = 773	deleted = 773	frequency deleted = 100.0
