a	184.38678152885777	total = 1336	deleted = 1323	frequency deleted = 99.02694610778443
<number>	184.0310252765577	total = 1952	deleted = 1885	frequency deleted = 96.56762295081968
and	181.79058181064616	total = 1357	deleted = 1322	frequency deleted = 97.4207811348563
the	179.23223157523583	total = 3385	deleted = 3116	frequency deleted = 92.05317577548006
in	162.6345948651746	total = 1335	deleted = 1156	frequency deleted = 86.59176029962546
for	160.63968994416197	total = 588	deleted = 547	frequency deleted = 93.02721088435374
to	160.3053435114504	total = 1750	deleted = 1470	frequency deleted = 84.0
is	156.13365228325205	total = 466	deleted = 437	frequency deleted = 93.77682403433477
with	151.2815322585057	total = 383	deleted = 361	frequency deleted = 94.25587467362925
on	147.4966098681365	total = 573	deleted = 485	frequency deleted = 84.64223385689354
it	138.5528354899268	total = 237	deleted = 232	frequency deleted = 97.8902953586498
of	134.14812310193898	total = 1667	deleted = 1165	frequency deleted = 69.88602279544092
was	133.29555359128273	total = 533	deleted = 406	frequency deleted = 76.17260787992495
be	126.91883951524055	total = 256	deleted = 216	frequency deleted = 84.375
an	126.1902942300344	total = 215	deleted = 192	frequency deleted = 89.30232558139535
as	124.75317556217028	total = 332	deleted = 255	frequency deleted = 76.80722891566265
he	120.4008300015183	total = 244	deleted = 195	frequency deleted = 79.91803278688525
will	118.72146118721464	total = 260	deleted = 200	frequency deleted = 76.92307692307693
or	114.89945043512319	total = 251	deleted = 187	frequency deleted = 74.5019920318725
up	113.90613718411552	total = 145	deleted = 136	frequency deleted = 93.79310344827586
that	113.77772292333063	total = 509	deleted = 326	frequency deleted = 64.04715127701375
its	110.12860637701759	total = 237	deleted = 170	frequency deleted = 71.72995780590718
his	108.11108272243077	total = 191	deleted = 144	frequency deleted = 75.39267015706807
but	107.83410138248848	total = 117	deleted = 117	frequency deleted = 100.0
also	106.21253594816534	total = 131	deleted = 117	frequency deleted = 89.31297709923665
at	105.56166229345436	total = 446	deleted = 267	frequency deleted = 59.865470852017935
would	102.58711857411849	total = 163	deleted = 122	frequency deleted = 74.84662576687117
not	97.92320810952965	total = 221	deleted = 139	frequency deleted = 62.89592760180995
this	95.8644184742766	total = 117	deleted = 95	frequency deleted = 81.19658119658119
one	92.51605136436598	total = 106	deleted = 87	frequency deleted = 82.0754716981132
out	86.47356580427446	total = 82	deleted = 75	frequency deleted = 91.46341463414635
about	85.46901040847771	total = 151	deleted = 90	frequency deleted = 59.60264900662252
which	84.51151707704527	total = 112	deleted = 76	frequency deleted = 67.85714285714286
into	78.88193281015783	total = 71	deleted = 63	frequency deleted = 88.73239436619718
over	73.78115927520273	total = 67	deleted = 55	frequency deleted = 82.08955223880598
had	73.70559320194141	total = 233	deleted = 102	frequency deleted = 43.776824034334766
her	72.26366774301302	total = 59	deleted = 55	frequency deleted = 93.22033898305084
who	70.56658744153951	total = 177	deleted = 78	frequency deleted = 44.06779661016949
could	69.59213401310998	total = 78	deleted = 49	frequency deleted = 62.82051282051282
she	68.01261829652996	total = 55	deleted = 49	frequency deleted = 89.0909090909091
down	67.79122356680112	total = 59	deleted = 47	frequency deleted = 79.66101694915254
all	67.75230785188259	total = 71	deleted = 46	frequency deleted = 64.7887323943662
than	66.38411777827348	total = 93	deleted = 48	frequency deleted = 51.61290322580645
when	65.9072416598861	total = 81	deleted = 45	frequency deleted = 55.55555555555556
some	65.75342465753425	total = 50	deleted = 48	frequency deleted = 96.0
I	65.26200574634014	total = 53	deleted = 45	frequency deleted = 84.90566037735849
first	63.96524354582673	total = 87	deleted = 44	frequency deleted = 50.57471264367817
they	63.89760927312243	total = 108	deleted = 49	frequency deleted = 45.370370370370374
have	63.35834454445847	total = 251	deleted = 91	frequency deleted = 36.254980079681275
can	59.299191374663074	total = 44	deleted = 40	frequency deleted = 90.9090909090909
did	58.13806206459785	total = 54	deleted = 34	frequency deleted = 62.96296296296296
off	57.850947070277925	total = 43	deleted = 38	frequency deleted = 88.37209302325581
because	57.62830618321947	total = 47	deleted = 35	frequency deleted = 74.46808510638297
only	57.42697327532629	total = 56	deleted = 33	frequency deleted = 58.92857142857143
while	56.30785986567435	total = 47	deleted = 33	frequency deleted = 70.2127659574468
him	55.072463768115945	total = 38	deleted = 38	frequency deleted = 100.0
another	54.326440473800446	total = 41	deleted = 33	frequency deleted = 80.48780487804879
next	53.391412570006224	total = 39	deleted = 33	frequency deleted = 84.61538461538461
just	52.94117647058823	total = 36	deleted = 36	frequency deleted = 100.0
them	52.54378648874061	total = 36	deleted = 35	frequency deleted = 97.22222222222221
like	51.851851851851855	total = 35	deleted = 35	frequency deleted = 100.0
other	50.99613665631391	total = 99	deleted = 34	frequency deleted = 34.34343434343434
we	50.32688830157185	total = 67	deleted = 27	frequency deleted = 40.298507462686565
there	49.8266897746967	total = 46	deleted = 25	frequency deleted = 54.347826086956516
has	49.477083716805275	total = 231	deleted = 64	frequency deleted = 27.705627705627705
through	47.86778208528872	total = 51	deleted = 23	frequency deleted = 45.09803921568628
where	47.51864232450502	total = 33	deleted = 28	frequency deleted = 84.84848484848484
very	47.32824427480916	total = 31	deleted = 31	frequency deleted = 100.0
more	47.142857142857146	total = 110	deleted = 33	frequency deleted = 30.0
before	46.55619884208425	total = 53	deleted = 22	frequency deleted = 41.509433962264154
second	46.17691154422789	total = 56	deleted = 22	frequency deleted = 39.285714285714285
make	46.15384615384615	total = 30	deleted = 30	frequency deleted = 100.0
under	45.776566757493185	total = 48	deleted = 21	frequency deleted = 43.75
should	45.67375886524823	total = 35	deleted = 23	frequency deleted = 65.71428571428571
if	45.40295119182747	total = 32	deleted = 25	frequency deleted = 78.125
against	44.70359572400389	total = 46	deleted = 20	frequency deleted = 43.47826086956522
back	43.398392652123995	total = 28	deleted = 27	frequency deleted = 96.42857142857143
end	43.320666471791874	total = 39	deleted = 19	frequency deleted = 48.717948717948715
what	43.026004728132385	total = 28	deleted = 26	frequency deleted = 92.85714285714286
around	42.94970688059241	total = 29	deleted = 24	frequency deleted = 82.75862068965517
came	42.27642276422764	total = 39	deleted = 18	frequency deleted = 46.15384615384615
any	42.21105527638191	total = 28	deleted = 24	frequency deleted = 85.71428571428571
so	42.21105527638191	total = 28	deleted = 24	frequency deleted = 85.71428571428571
time	41.717791411042946	total = 51	deleted = 18	frequency deleted = 35.294117647058826
well	41.26984126984127	total = 26	deleted = 26	frequency deleted = 100.0
home	41.174414540370506	total = 31	deleted = 19	frequency deleted = 61.29032258064516
keep	40.931989924433246	total = 26	deleted = 25	frequency deleted = 96.15384615384616
dont	40.931989924433246	total = 26	deleted = 25	frequency deleted = 96.15384615384616
take	40.57217165149545	total = 26	deleted = 24	frequency deleted = 92.3076923076923
until	40.476190476190474	total = 34	deleted = 17	frequency deleted = 50.0
my	40.0	total = 25	deleted = 25	frequency deleted = 100.0
now	39.89562191939692	total = 43	deleted = 16	frequency deleted = 37.2093023255814
both	39.31623931623932	total = 25	deleted = 23	frequency deleted = 92.0
being	39.190202449387655	total = 49	deleted = 16	frequency deleted = 32.6530612244898
still	38.93805309734513	total = 25	deleted = 22	frequency deleted = 88.0
then	38.93805309734513	total = 25	deleted = 22	frequency deleted = 88.0
used	38.734869191721984	total = 31	deleted = 16	frequency deleted = 51.61290322580645
found	38.263950398582814	total = 54	deleted = 16	frequency deleted = 29.629629629629626
close	37.802907915993536	total = 26	deleted = 18	frequency deleted = 69.23076923076923
made	37.79333058871964	total = 27	deleted = 17	frequency deleted = 62.96296296296296
best	37.66816143497758	total = 24	deleted = 21	frequency deleted = 87.5
do	37.66816143497758	total = 24	deleted = 21	frequency deleted = 87.5
half	37.62376237623762	total = 25	deleted = 19	frequency deleted = 76.0
most	37.412095639943736	total = 38	deleted = 14	frequency deleted = 36.84210526315789
get	37.39837398373984	total = 23	deleted = 23	frequency deleted = 100.0
right	37.39837398373984	total = 23	deleted = 23	frequency deleted = 100.0
way	36.0655737704918	total = 22	deleted = 22	frequency deleted = 100.0
such	36.05546995377503	total = 36	deleted = 13	frequency deleted = 36.11111111111111
left	35.8974358974359	total = 28	deleted = 14	frequency deleted = 50.0
set	35.06743737957611	total = 26	deleted = 14	frequency deleted = 53.84615384615385
took	35.06743737957611	total = 26	deleted = 14	frequency deleted = 53.84615384615385
find	34.710743801652896	total = 21	deleted = 21	frequency deleted = 100.0
much	34.41212617779598	total = 21	deleted = 20	frequency deleted = 95.23809523809523
each	33.76623376623377	total = 25	deleted = 13	frequency deleted = 52.0
going	33.333333333333336	total = 20	deleted = 20	frequency deleted = 100.0
open	33.333333333333336	total = 20	deleted = 20	frequency deleted = 100.0
called	33.0550918196995	total = 36	deleted = 11	frequency deleted = 30.555555555555557
night	32.207207207207205	total = 26	deleted = 11	frequency deleted = 42.30769230769231
help	32.0	total = 20	deleted = 16	frequency deleted = 80.0
think	31.932773109243698	total = 19	deleted = 19	frequency deleted = 100.0
those	30.585602387168965	total = 41	deleted = 10	frequency deleted = 24.390243902439025
top	30.508474576271187	total = 18	deleted = 18	frequency deleted = 100.0
cut	29.695431472081218	total = 26	deleted = 9	frequency deleted = 34.61538461538461
am	29.33333333333334	total = 20	deleted = 11	frequency deleted = 55.00000000000001
head	29.23433874709977	total = 18	deleted = 14	frequency deleted = 77.77777777777779
tried	29.05982905982906	total = 17	deleted = 17	frequency deleted = 100.0
available	28.798305982001057	total = 17	deleted = 16	frequency deleted = 94.11764705882352
two	28.368794326241133	total = 125	deleted = 20	frequency deleted = 16.0
see	27.586206896551722	total = 16	deleted = 16	frequency deleted = 100.0
put	27.586206896551722	total = 16	deleted = 16	frequency deleted = 100.0
use	27.33485193621868	total = 16	deleted = 15	frequency deleted = 93.75
near	27.053140096618357	total = 16	deleted = 14	frequency deleted = 87.5
between	26.88496337785437	total = 39	deleted = 8	frequency deleted = 20.51282051282051
behind	26.73521850899743	total = 16	deleted = 13	frequency deleted = 81.25
same	26.332288401253916	total = 24	deleted = 7	frequency deleted = 29.166666666666668
our	26.22107969151671	total = 51	deleted = 9	frequency deleted = 17.647058823529413
place	26.08695652173913	total = 15	deleted = 15	frequency deleted = 100.0
part	25.76687116564417	total = 21	deleted = 7	frequency deleted = 33.33333333333333
felt	25.263157894736842	total = 15	deleted = 12	frequency deleted = 80.0
good	24.56140350877193	total = 14	deleted = 14	frequency deleted = 100.0
work	24.56140350877193	total = 14	deleted = 14	frequency deleted = 100.0
enough	24.56140350877193	total = 14	deleted = 14	frequency deleted = 100.0
went	24.331550802139038	total = 14	deleted = 13	frequency deleted = 92.85714285714286
how	24.0	total = 15	deleted = 9	frequency deleted = 60.0
wanted	23.765432098765434	total = 14	deleted = 11	frequency deleted = 78.57142857142857
almost	23.765432098765434	total = 14	deleted = 11	frequency deleted = 78.57142857142857
people	23.613595706618955	total = 88	deleted = 12	frequency deleted = 13.636363636363635
without	23.41463414634146	total = 15	deleted = 8	frequency deleted = 53.333333333333336
never	23.411371237458194	total = 14	deleted = 10	frequency deleted = 71.42857142857143
room	23.008849557522122	total = 13	deleted = 13	frequency deleted = 100.0
me	23.008849557522122	total = 13	deleted = 13	frequency deleted = 100.0
run	22.99270072992701	total = 14	deleted = 9	frequency deleted = 64.28571428571429
outside	22.702702702702705	total = 15	deleted = 7	frequency deleted = 46.666666666666664
worked	22.537431048069347	total = 13	deleted = 11	frequency deleted = 84.61538461538461
too	22.537431048069347	total = 13	deleted = 11	frequency deleted = 84.61538461538461
little	22.537431048069347	total = 13	deleted = 11	frequency deleted = 84.61538461538461
even	22.537431048069347	total = 13	deleted = 11	frequency deleted = 84.61538461538461
cable	22.489959839357432	total = 14	deleted = 8	frequency deleted = 57.14285714285714
soon	22.429906542056074	total = 16	deleted = 6	frequency deleted = 37.5
held	22.316684378320932	total = 21	deleted = 5	frequency deleted = 23.809523809523807
getting	22.241231822070144	total = 13	deleted = 10	frequency deleted = 76.92307692307693
again	22.241231822070144	total = 13	deleted = 10	frequency deleted = 76.92307692307693
thought	21.889616463985035	total = 13	deleted = 9	frequency deleted = 69.23076923076923
few	21.818181818181817	total = 15	deleted = 6	frequency deleted = 40.0
go	21.428571428571427	total = 12	deleted = 12	frequency deleted = 100.0
start	21.105527638190956	total = 14	deleted = 6	frequency deleted = 42.857142857142854
didnt	20.97902097902098	total = 12	deleted = 10	frequency deleted = 83.33333333333334
does	20.943613348676642	total = 13	deleted = 7	frequency deleted = 53.84615384615385
using	20.689655172413794	total = 15	deleted = 5	frequency deleted = 33.33333333333333
hold	20.689655172413794	total = 12	deleted = 9	frequency deleted = 75.0
meet	20.338983050847457	total = 12	deleted = 8	frequency deleted = 66.66666666666666
their	20.027856491042698	total = 139	deleted = 15	frequency deleted = 10.79136690647482
others	19.976218787158142	total = 21	deleted = 4	frequency deleted = 19.047619047619047
San	19.976218787158142	total = 21	deleted = 4	frequency deleted = 19.047619047619047
within	19.973718791064385	total = 19	deleted = 4	frequency deleted = 21.052631578947366
working	19.905213270142177	total = 12	deleted = 7	frequency deleted = 58.333333333333336
along	19.81981981981982	total = 11	deleted = 11	frequency deleted = 100.0
conference	19.51219512195122	total = 25	deleted = 4	frequency deleted = 16.0
you	19.39275220372184	total = 11	deleted = 9	frequency deleted = 81.81818181818183
away	19.39275220372184	total = 11	deleted = 9	frequency deleted = 81.81818181818183
site	19.35483870967742	total = 12	deleted = 6	frequency deleted = 50.0
show	19.2	total = 15	deleted = 4	frequency deleted = 26.666666666666668
heart	19.2	total = 15	deleted = 4	frequency deleted = 26.666666666666668
come	18.757612667478686	total = 11	deleted = 7	frequency deleted = 63.63636363636363
season	18.757612667478686	total = 11	deleted = 7	frequency deleted = 63.63636363636363
might	18.633540372670808	total = 12	deleted = 5	frequency deleted = 41.66666666666667
hope	18.633540372670808	total = 12	deleted = 5	frequency deleted = 41.66666666666667
decided	18.633540372670808	total = 12	deleted = 5	frequency deleted = 41.66666666666667
comes	18.307905686546462	total = 11	deleted = 6	frequency deleted = 54.54545454545454
weekend	18.307905686546462	total = 11	deleted = 6	frequency deleted = 54.54545454545454
area	18.307905686546462	total = 11	deleted = 6	frequency deleted = 54.54545454545454
several	18.22189566495224	total = 31	deleted = 4	frequency deleted = 12.903225806451612
give	18.181818181818183	total = 10	deleted = 10	frequency deleted = 100.0
music	18.181818181818183	total = 10	deleted = 10	frequency deleted = 100.0
thing	18.181818181818183	total = 10	deleted = 10	frequency deleted = 100.0
doesnt	18.181818181818183	total = 10	deleted = 10	frequency deleted = 100.0
name	18.0	total = 10	deleted = 9	frequency deleted = 90.0
itself	18.0	total = 10	deleted = 9	frequency deleted = 90.0
slightly	17.77777777777778	total = 10	deleted = 8	frequency deleted = 80.0
own	17.713365539452496	total = 11	deleted = 5	frequency deleted = 45.45454545454545
fully	17.713365539452496	total = 11	deleted = 5	frequency deleted = 45.45454545454545
buy	17.64705882352941	total = 12	deleted = 4	frequency deleted = 33.33333333333333
late	17.48071979434447	total = 34	deleted = 4	frequency deleted = 11.76470588235294
believe	17.307692307692307	total = 18	deleted = 3	frequency deleted = 16.666666666666664
life	17.26618705035971	total = 16	deleted = 3	frequency deleted = 18.75
possible	17.26618705035971	total = 16	deleted = 3	frequency deleted = 18.75
last	17.154839132429068	total = 119	deleted = 11	frequency deleted = 9.243697478991598
call	17.142857142857142	total = 15	deleted = 3	frequency deleted = 20.0
high	17.142857142857142	total = 20	deleted = 3	frequency deleted = 15.0
