a	197.1401988772106	total = 7722	deleted = 7710	frequency deleted = 99.84459984459984
is	194.7556644182953	total = 8919	deleted = 8781	frequency deleted = 98.4527413387151
the	194.07381403087638	total = 3406	deleted = 3402	frequency deleted = 99.8825601879037
of	184.80243161094225	total = 1216	deleted = 1216	frequency deleted = 100.0
white	167.67948702260185	total = 524	deleted = 523	frequency deleted = 99.80916030534351
black	167.3797452701867	total = 576	deleted = 564	frequency deleted = 97.91666666666666
in	159.0637100898083	total = 2469	deleted = 2029	frequency deleted = 82.17901984609153
and	153.53077294679707	total = 2281	deleted = 1812	frequency deleted = 79.43884261288908
blue	147.53111347699988	total = 284	deleted = 283	frequency deleted = 99.64788732394366
red	146.91766058341716	total = 288	deleted = 284	frequency deleted = 98.61111111111111
brown	146.32703162047042	total = 394	deleted = 354	frequency deleted = 89.84771573604061
an	144.2780772889956	total = 378	deleted = 337	frequency deleted = 89.15343915343915
on	137.3859301470455	total = 1859	deleted = 1326	frequency deleted = 71.32867132867133
at	135.94581285877115	total = 501	deleted = 394	frequency deleted = 78.64271457085829
green	131.740614334471	total = 193	deleted = 193	frequency deleted = 100.0
with	129.8436744560838	total = 1080	deleted = 746	frequency deleted = 69.07407407407408
yellow	128.57142857142858	total = 180	deleted = 180	frequency deleted = 100.0
group	126.0046268528832	total = 172	deleted = 171	frequency deleted = 99.4186046511628
small	125.67253404184655	total = 176	deleted = 172	frequency deleted = 97.72727272727273
large	122.48062015503876	total = 158	deleted = 158	frequency deleted = 100.0
its	120.63492063492063	total = 152	deleted = 152	frequency deleted = 100.0
one	118.38702607933378	total = 148	deleted = 146	frequency deleted = 98.64864864864865
pink	116.86901704412794	total = 142	deleted = 141	frequency deleted = 99.29577464788733
little	111.07902125952667	total = 215	deleted = 161	frequency deleted = 74.88372093023256
which	109.16796570537804	total = 166	deleted = 135	frequency deleted = 81.32530120481928
another	108.09678433015607	total = 129	deleted = 120	frequency deleted = 93.02325581395348
two	107.42138364779875	total = 140	deleted = 122	frequency deleted = 87.14285714285714
for	100.49780380673499	total = 195	deleted = 132	frequency deleted = 67.6923076923077
are	93.08015227219425	total = 1899	deleted = 906	frequency deleted = 47.70932069510268
has	86.5874363327674	total = 85	deleted = 75	frequency deleted = 88.23529411764706
near	84.68276334831289	total = 204	deleted = 109	frequency deleted = 53.431372549019606
next	84.64268812115475	total = 98	deleted = 73	frequency deleted = 74.48979591836735
that	83.27498353495788	total = 143	deleted = 84	frequency deleted = 58.74125874125874
other	81.5471666244405	total = 71	deleted = 68	frequency deleted = 95.77464788732394
purple	77.00841622035195	total = 66	deleted = 61	frequency deleted = 92.42424242424242
top	69.34230367706763	total = 61	deleted = 49	frequency deleted = 80.32786885245902
orange	69.28104575163398	total = 53	deleted = 53	frequency deleted = 100.0
some	66.84753119913185	total = 224	deleted = 88	frequency deleted = 39.285714285714285
oil	66.52452025586354	total = 52	deleted = 48	frequency deleted = 92.3076923076923
each	63.945578231292515	total = 47	deleted = 47	frequency deleted = 100.0
big	60.10753918315982	total = 71	deleted = 37	frequency deleted = 52.112676056338024
colored	59.7123491486196	total = 43	deleted = 42	frequency deleted = 97.67441860465115
to	56.27540043031317	total = 321	deleted = 99	frequency deleted = 30.8411214953271
colorful	52.94117647058823	total = 36	deleted = 36	frequency deleted = 100.0
field	51.92307692307692	total = 50	deleted = 27	frequency deleted = 54.0
three	51.851851851851855	total = 35	deleted = 35	frequency deleted = 100.0
golden	49.62406015037594	total = 33	deleted = 33	frequency deleted = 100.0
